"name1","name2","ally"
"TUR","SPN",0
"TUR","POR",0
"TUR","JPN",0
"TUR","TUR",NA
"TUR","GRC",0
"UKG","GUA",0
"UKG","HON",0
"UKG","SAL",0
"UKG","NIC",0
"UKG","ECU",0
"UKG","UKG",NA
"UKG","FRN",0
"UKG","GMY",0
"UKG","AUH",0
"UKG","ITA",0
"UKG","MNG",0
"UKG","YUG",0
"UKG","BUL",0
"UKG","ROM",0
"UKG","RUS",0
"UKG","COS",0
"UKG","BOL",0
"UKG","SPN",0
"UKG","POR",1
"UKG","JPN",1
"UKG","TUR",0
"UKG","GRC",0
"YUG","GUA",0
"YUG","HON",0
"YUG","SAL",0
"YUG","NIC",0
"YUG","ECU",0
"YUG","UKG",0
"YUG","FRN",0
"YUG","GMY",0
"YUG","AUH",0
"YUG","ITA",0
"YUG","MNG",1
"YUG","YUG",NA
"YUG","BUL",0
"YUG","ROM",0
"YUG","RUS",0
"YUG","COS",0
"YUG","BOL",0
"YUG","SPN",0
"YUG","POR",0
"YUG","JPN",0
"YUG","TUR",0
"YUG","GRC",1
